,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
312,Andhra Pradesh,2022,4,prakasam district,37211077,88105031866.36835,TOTAL
313,Andhra Pradesh,2022,4,anantapur district,48299601,101533878537.23433,TOTAL
314,Andhra Pradesh,2022,4,ysr district,35201596,87360426792.81667,TOTAL
315,Andhra Pradesh,2022,4,west godavari district,47919930,105335724990.59325,TOTAL
316,Andhra Pradesh,2022,4,kurnool district,43524766,94667441029.08345,TOTAL
317,Andhra Pradesh,2022,4,chittoor district,70322534,136840859888.18155,TOTAL
318,Andhra Pradesh,2022,4,guntur district,70723763,146938735166.52365,TOTAL
319,Andhra Pradesh,2022,4,krishna district,76526667,157826011193.35443,TOTAL
320,Arunanchal Pradesh,2018,1,lower dibang valley district,1356,1076236.814073793,TOTAL
321,Arunanchal Pradesh,2018,1,lower subansiri district,1477,3650727.893614269,TOTAL
322,Arunanchal Pradesh,2018,1,longding district,2321,4361531.578447229,TOTAL
323,Arunanchal Pradesh,2018,1,west siang district,1887,4796675.565399804,TOTAL
324,Arunanchal Pradesh,2018,1,kamle district,14,7971.330494807651,TOTAL
325,Arunanchal Pradesh,2018,1,upper siang district,126,186610.66988095018,TOTAL
326,Arunanchal Pradesh,2018,1,tirap district,945,1064265.0002443574,TOTAL
327,Arunanchal Pradesh,2018,1,papum pare district,14224,32555848.462331478,TOTAL
328,Arunanchal Pradesh,2018,1,kurung kumey district,84,99416.58027150274,TOTAL
329,Arunanchal Pradesh,2018,1,siang district,252,339471.80434222345,TOTAL
330,Arunanchal Pradesh,2018,1,lower siang district,1292,2337960.7148240386,TOTAL
